theta,placement,seed,peak_D,early_D,tail_D,peak_dcomm,bridge_radical_tail
0.0,bridge_biased,1,0.8541666666666666,0.15083333333333332,0.0,6.0,0.40657142857142853
0.0,bridge_biased,2,0.7958333333333333,0.133375,0.0,6.0,0.22557142857142856
0.0,bridge_biased,3,0.8083333333333333,0.14999999999999997,0.0,6.0,0.28485714285714286
0.0,bridge_biased,4,0.8291666666666667,0.15429166666666666,0.0,6.0,0.3288571428571429
0.0,bridge_biased,5,0.8166666666666667,0.14425,0.0,6.0,0.24842857142857142
0.0,bridge_biased,6,0.8125,0.14804166666666668,0.0,6.0,0.32042857142857145
0.0,bridge_biased,7,0.7625,0.14479166666666665,0.0,6.0,0.3408571428571429
0.0,bridge_biased,8,0.825,0.16595833333333332,0.0,6.0,0.34485714285714286
0.0,bridge_biased,9,0.825,0.164375,0.0,6.0,0.25271428571428567
0.0,bridge_biased,10,0.8458333333333333,0.19949999999999996,0.0,6.0,0.28785714285714287
0.0,bridge_biased,11,0.8208333333333333,0.140125,0.0,6.0,0.26757142857142857
0.0,bridge_biased,12,0.7833333333333333,0.14550000000000002,0.0,6.0,0.2532857142857143
0.0,bridge_biased,13,0.8291666666666667,0.1595416666666667,0.0,6.0,0.22371428571428573
0.0,bridge_biased,14,0.7916666666666666,0.13458333333333333,0.0,6.0,0.331
0.0,bridge_biased,15,0.7791666666666667,0.16400000000000003,0.0,6.0,0.2672857142857143
0.0,bridge_biased,16,0.8166666666666667,0.167375,0.0,6.0,0.37657142857142856
0.0,bridge_biased,17,0.85,0.16012500000000002,0.0,6.0,0.2114285714285714
0.0,bridge_biased,18,0.775,0.157,0.0,6.0,0.28585714285714287
0.0,bridge_biased,19,0.7958333333333333,0.14491666666666667,0.0,6.0,0.3091428571428571
0.0,bridge_biased,20,0.8375,0.15304166666666666,0.0,6.0,0.29642857142857143
0.0,bridge_biased,21,0.7875,0.16333333333333336,0.0,6.0,0.29157142857142854
0.0,bridge_biased,22,0.7625,0.13479166666666664,0.0,6.0,0.29742857142857143
0.0,bridge_biased,23,0.8041666666666667,0.13112500000000002,0.0,6.0,0.2834285714285714
